"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
1,"Pirates of the Caribbean: At World's End","USA","5381920","BVI",-60,2,550,9785,29280729,"2007-06-03",2007,22,"2007-22"
3,"Spider-Man 3","USA","588041","Sony",-54,5,451,1303,32497245,"2007-06-03",2007,22,"2007-22"
5,"Zodiac","USA","316536","Warner",-49,3,221,1432,2697184,"2007-06-03",2007,22,"2007-22"
7,"Bridge to Terabitha","USA","209062","Icon",-30,5,385,543,4498532,"2007-06-03",2007,22,"2007-22"
8,"28 Weeks Later","UK","186888","20th Century Fox",-66,4,258,724,4938925,"2007-06-03",2007,22,"2007-22"
9,"Mr Bean's Holiday","UK/USA","63959","Universal",-27,10,214,298,22052368,"2007-06-03",2007,22,"2007-22"
10,"Cheeni Cum","Ind","60889","Eros",-49,2,36,1691,275457,"2007-06-03",2007,22,"2007-22"
11,"Jindabyne","Aus","56475","Revolver",-48,2,35,1613,262318,"2007-06-03",2007,22,"2007-22"
13,"The Lives of Others","Ger","39936","Lionsgate",-45,8,27,1479,2242718,"2007-06-03",2007,22,"2007-22"
15,"Meet the Robinsons","USA","37144","BVI",9,10,118,314,4395133,"2007-06-03",2007,22,"2007-22"
19,"This is England","UK","26633","Optimum",-60,6,48,554,1410314,"2007-06-03",2007,22,"2007-22"
20,"Magicians","UK","25404","Universal",-84,3,91,279,861718,"2007-06-03",2007,22,"2007-22"
23,"Joe Strummer: The Future is Unwritten","UK/Ire","12170","Vertigo",-4,3,12,1014,91460,"2007-06-03",2007,22,"2007-22"
33,"Conversations With Other Women","UK/USA","3453","Revelation",-66,3,4,863,56834,"2007-06-03",2007,22,"2007-22"
38,"Sunshine","UK","2247","20th Century Fox",-44,9,11,204,3163317,"2007-06-03",2007,22,"2007-22"
42,"Hot Fuzz","UK","1678","Universal",-31,16,2,839,20984107,"2007-06-03",2007,22,"2007-22"
44,"Amazing Grace","UK/USA","1399","Momentum",-28,11,6,233,2184503,"2007-06-03",2007,22,"2007-22"
48,"Scott Walker: 30 Century Man","UK/USA","995","Verve",-52,6,5,199,24851,"2007-06-03",2007,22,"2007-22"
60,"Fast Food Nation","USA/UK","421","Tartan",-82,5,6,70,52808,"2007-06-03",2007,22,"2007-22"
66,"Miss Potter","UK/USA","55","Momentum",-51,22,2,27,6697315,"2007-06-03",2007,22,"2007-22"
2,"Pirates of the Caribbean: At World's End","USA","2315951","BVI",-57,3,530,4370,33660185,"2007-06-10",2007,23,"2007-23"
4,"Wedding Daze","USA","351114","Pathé",-56,2,346,1015,1550990,"2007-06-10",2007,23,"2007-23"
5,"Spider-Man 3","USA","241672","Sony",-59,6,392,617,33074205,"2007-06-10",2007,23,"2007-23"
6,"Paradise Lost","USA","185361","Lionsgate",-54,2,288,644,834478,"2007-06-10",2007,23,"2007-23"
7,"Zodiac","USA","140545","Warner",-56,4,168,837,3047270,"2007-06-10",2007,23,"2007-23"
8,"The Hitcher","USA","78272","Universal",-64,2,215,364,438178,"2007-06-10",2007,23,"2007-23"
9,"28 Weeks Later","UK","74444","20th Century Fox",-60,5,133,560,5159129,"2007-06-10",2007,23,"2007-23"
10,"Bridge to Terabitha","USA","62372","Icon",-70,6,355,176,4619591,"2007-06-10",2007,23,"2007-23"
11,"Cheeni Cum","Ind","35911","Eros",-41,3,34,1056,342825,"2007-06-10",2007,23,"2007-23"
12,"Jindabyne","Aus","34024","Revolver",-40,3,32,1063,342584,"2007-06-10",2007,23,"2007-23"
13,"The Lives of Others","Ger","31611","Lionsgate",-21,9,32,988,2317351,"2007-06-10",2007,23,"2007-23"
14,"Fool n Final","Ind","26907","Tip Top",-46,2,19,1416,106373,"2007-06-10",2007,23,"2007-23"
17,"Mr Bean's Holiday","UK/USA","15144","Universal",-76,11,136,111,22080192,"2007-06-10",2007,23,"2007-23"
19,"This is England","UK","14049","Optimum",-47,7,30,468,1446991,"2007-06-10",2007,23,"2007-23"
23,"Joe Strummer: The Future is Unwritten","UK/Ire","11632","Vertigo",-4,4,11,1057,114897,"2007-06-10",2007,23,"2007-23"
32,"Magicians","UK","3766","Universal",-85,4,19,198,885174,"2007-06-10",2007,23,"2007-23"
37,"Amazing Grace","UK/USA","2413","Momentum",73,12,4,603,2189426,"2007-06-10",2007,23,"2007-23"
38,"Sunshine","UK","2301","20th Century Fox",2,10,12,192,3167791,"2007-06-10",2007,23,"2007-23"
39,"Conversations With Other Women","UK/USA","1897","Revelation",-45,4,2,949,61704,"2007-06-10",2007,23,"2007-23"
41,"Hot Fuzz","UK","1669","Universal",0,17,3,556,20987861,"2007-06-10",2007,23,"2007-23"
49,"Scott Walker: 30 Century Man","UK/USA","1045","Verve",5,7,2,523,26386,"2007-06-10",2007,23,"2007-23"
55,"Fast Food Nation","USA/UK","437","Tartan",4,6,2,219,54922,"2007-06-10",2007,23,"2007-23"
57,"Distant Voices, Still Lives (Re)","UK","431","BFI",-33,8,1,431,18546,"2007-06-10",2007,23,"2007-23"
65,"Miss Potter","UK/USA","44","Momentum",-20,23,2,22,6697548,"2007-06-10",2007,23,"2007-23"
2,"Ocean's Thirteen","USA","2184104","Warner",-28,2,482,4531,7042069,"2007-06-17",2007,24,"2007-24"
3,"Pirates of the Caribbean: At World's End","USA","1613764","BVI",-30,4,458,3523,36339948,"2007-06-17",2007,24,"2007-24"
5,"Are We Done Yet?","USA","344493","Sony",-18,2,277,1243,915855,"2007-06-17",2007,24,"2007-24"
7,"Wedding Daze","USA","209605","Pathé",-40,3,304,689,2003915,"2007-06-17",2007,24,"2007-24"
10,"Spider-Man 3","USA","151743","Sony",-37,7,320,474,33354845,"2007-06-17",2007,24,"2007-24"
11,"Zodiac","USA","118515","Warner",-16,5,130,911,3288925,"2007-06-17",2007,24,"2007-24"
12,"Paradise Lost","USA","58250","Lionsgate",-69,3,154,378,1035393,"2007-06-17",2007,24,"2007-24"
13,"Bridge to Terabitha","USA","42083","Icon",-33,7,246,171,4682915,"2007-06-17",2007,24,"2007-24"
14,"28 Weeks Later","UK","28942","20th Century Fox",-61,6,61,474,5246454,"2007-06-17",2007,24,"2007-24"
15,"The Lives of Others","Ger","28068","Lionsgate",-11,10,25,1122,2376841,"2007-06-17",2007,24,"2007-24"
21,"This is England","UK","12447","Optimum",-11,8,21,592,1476498,"2007-06-17",2007,24,"2007-24"
23,"Mr Bean's Holiday","UK/USA","11527","Universal",-24,12,64,180,22095528,"2007-06-17",2007,24,"2007-24"
29,"Taking Liberties","UK","7617","Revolver",-64,2,16,476,43597,"2007-06-17",2007,24,"2007-24"
30,"Joe Strummer: The Future is Unwritten","UK/Ire","5118","Vertigo",-56,5,6,853,131051,"2007-06-17",2007,24,"2007-24"
34,"Black Gold","UK/USA","3333","Dogwoof Pictures",-50,2,8,416,16571,"2007-06-17",2007,24,"2007-24"
45,"Scott Walker: 30 Century Man","UK/USA","1672","Verve",60,8,3,557,29144,"2007-06-17",2007,24,"2007-24"
47,"Sunshine","UK","1302","20th Century Fox",-43,11,7,186,3171864,"2007-06-17",2007,24,"2007-24"
48,"Amazing Grace","UK/USA","782","Momentum",-68,13,3,260,2196667,"2007-06-17",2007,24,"2007-24"
51,"Fast Food Nation","USA/UK","645","Tartan",48,7,4,161,57292,"2007-06-17",2007,24,"2007-24"
54,"Distant Voices, Still Lives (Re)","UK","573","BFI",33,9,1,573,19527,"2007-06-17",2007,24,"2007-24"
1,"Fantastic Four: Rise of the Silver Surfer","USA/Ger","2254179","20th Century Fox",-46,2,481,4686,7914450,"2007-06-24",2007,25,"2007-25"
2,"Ocean's Thirteen","USA","1430864","Warner",-34,3,481,2974,9642559,"2007-06-24",2007,25,"2007-25"
3,"Pirates of the Caribbean: At World's End","USA","967437","BVI",-40,5,438,2208,37960243,"2007-06-24",2007,25,"2007-25"
5,"Vacancy","USA","315656","Sony",-44,2,289,1092,1273363,"2007-06-24",2007,25,"2007-25"
7,"Are We Done Yet?","USA","155962","Sony",-55,3,274,569,1164717,"2007-06-24",2007,25,"2007-25"
8,"Tell No One","Fra","153638","Revolver",-12,2,65,2363,444052,"2007-06-24",2007,25,"2007-25"
9,"Jhoom Barabar Jhoom","Ind","123302","Yash Raj",-54,2,47,2623,508443,"2007-06-24",2007,25,"2007-25"
10,"Wedding Daze","USA","71079","Pathe",-66,4,231,307,2225080,"2007-06-24",2007,25,"2007-25"
11,"Zodiac","USA","61824","Warner",-48,6,127,486,3440289,"2007-06-24",2007,25,"2007-25"
12,"Sivaji","Ind","58844","Ayngaran",-65,2,13,4526,273553,"2007-06-24",2007,25,"2007-25"
14,"Spider-Man 3","USA","37940","Sony",-75,8,180,210,33458286,"2007-06-24",2007,25,"2007-25"
15,"The Lives of Others","Ger","19087","Lionsgate",-32,11,30,636,2421679,"2007-06-24",2007,25,"2007-25"
21,"Grow Your Own","UK","9974","Pathé",-64,2,24,415,62034,"2007-06-24",2007,25,"2007-25"
22,"28 Weeks Later","UK","9410","20th Century Fox",-68,7,33,285,5278560,"2007-06-24",2007,25,"2007-25"
24,"This is England","UK","8075","Optimum",-35,9,20,403,1501578,"2007-06-24",2007,25,"2007-25"
26,"Mr Bean's Holiday","UK/USA","5685","Universal",-51,13,46,123,22103058,"2007-06-24",2007,25,"2007-25"
27,"The War on Democracy","UK/Aus","5339","Lionsgate",-34,2,3,1779,24631,"2007-06-24",2007,25,"2007-25"
28,"Black Gold","UK/USA","4407","Dogwoof Pictures",32,3,6,734,26252,"2007-06-24",2007,25,"2007-25"
33,"Joe Strummer: The Future is Unwritten","UK/Ire","2977","Vertigo",-42,6,4,744,138069,"2007-06-24",2007,25,"2007-25"
38,"Flyboys","UK/USA/Fra","1607","Verve",-25,4,11,146,83234,"2007-06-24",2007,25,"2007-25"
40,"Taking Liberties","UK","1433","Revolver",-81,3,10,143,52598,"2007-06-24",2007,25,"2007-25"
42,"Sunshine","UK","1137","20th Century Fox",-13,12,3,379,3175911,"2007-06-24",2007,25,"2007-25"
48,"Fast Food Nation","USA/UK","497","Tartan",-23,8,5,99,58572,"2007-06-24",2007,25,"2007-25"
52,"Scott Walker: 30 Century Man","UK/USA","233","Verve",-86,9,1,233,30976,"2007-06-24",2007,25,"2007-25"
2,"Fantastic Four: Rise of the Silver Surfer","USA/Ger","1368615","20th Century Fox",-39,3,459,2981,10218948,"2007-07-01",2007,26,"2007-26"
3,"Ocean's Thirteen","USA","966479","Warner",-32,4,436,2216,11449456,"2007-07-01",2007,26,"2007-26"
4,"Pirates of the Caribbean: At World's End","USA","683054","BVI",-29,6,402,1699,39128783,"2007-07-01",2007,26,"2007-26"
6,"La Vie En Rose","Fra/UK/Cze","181871","Icon",-12,2,82,2217,533657,"2007-07-01",2007,26,"2007-26"
8,"Vacancy","USA","170984","Sony",-46,3,214,798,1704567,"2007-07-01",2007,26,"2007-26"
9,"Captivity","USA/Rus","125156","Optimum",-62,2,258,485,692543,"2007-07-01",2007,26,"2007-26"
10,"Tell No One","Fra","106964","Revolver",-30,3,50,2139,656573,"2007-07-01",2007,26,"2007-26"
11,"Are We Done Yet?","USA","104619","Sony",-33,4,260,402,1351624,"2007-07-01",2007,26,"2007-26"
15,"Jhoom Barabar Jhoom","Ind","36980","Yash Raj",-70,3,33,1120,599396,"2007-07-01",2007,26,"2007-26"
26,"Flyboys","UK/USA/Fra","7534","Verve",369,5,16,470,91951,"2007-07-01",2007,26,"2007-26"
30,"This is England","UK","5461","Optimum",-32,10,12,455,1519957,"2007-07-01",2007,26,"2007-26"
31,"28 Weeks Later","UK","5345","20th Century Fox",-43,8,16,334,5299869,"2007-07-01",2007,26,"2007-26"
35,"Grow Your Own","UK","3970","Pathé",-60,3,10,397,76755,"2007-07-01",2007,26,"2007-26"
39,"Mr Bean's Holiday","UK/USA","2712","Universal",-52,14,26,104,22108178,"2007-07-01",2007,26,"2007-26"
41,"Joe Strummer: The Future is Unwritten","UK/Ire","1954","Vertigo",-34,7,2,977,142852,"2007-07-01",2007,26,"2007-26"
42,"Taking Liberties","UK","1884","Revolver",32,4,4,471,56657,"2007-07-01",2007,26,"2007-26"
44,"Black Gold","UK/USA","1609","Dogwoof Pictures",-64,4,6,268,35845,"2007-07-01",2007,26,"2007-26"
50,"The War on Democracy","UK/Aus","581","Lionsgate",-89,3,1,581,29922,"2007-07-01",2007,26,"2007-26"
51,"Scott Walker: 30 Century Man","UK/USA","555","Verve",138,10,2,277,31554,"2007-07-01",2007,26,"2007-26"
60,"Fast Food Nation","USA/UK","20","Tartan",-96,9,1,20,59106,"2007-07-01",2007,26,"2007-26"
1,"Shrek the Third","USA","5084641","Paramount",-70,2,538,9451,25694674,"2007-07-08",2007,27,"2007-27"
3,"Fantastic Four: Rise of the Silver Surfer","USA/Ger","658804","20th Century Fox",-52,4,452,1457,11360295,"2007-07-08",2007,27,"2007-27"
4,"Ocean's Thirteen","USA","460368","Warner",-52,5,398,1156,12363675,"2007-07-08",2007,27,"2007-27"
5,"Pirates of the Caribbean: At World's End","USA","366937","BVI",-46,7,357,1027,39731979,"2007-07-08",2007,27,"2007-27"
6,"Hostel 2","USA","282055","Sony",-59,2,260,1084,1338589,"2007-07-08",2007,27,"2007-27"
7,"Apne","Ind","120138","Tip Top",-33,2,44,2730,408431,"2007-07-08",2007,27,"2007-27"
8,"La Vie En Rose","Fra/UK/Cze","108070","Icon",-41,3,78,1385,778193,"2007-07-08",2007,27,"2007-27"
9,"Tell No One","Fra","64047","Revolver",-40,4,48,1334,778397,"2007-07-08",2007,27,"2007-27"
10,"Vacancy","USA","57064","Sony",-67,4,124,460,1838975,"2007-07-08",2007,27,"2007-27"
11,"Are We Done Yet?","USA","55879","Sony",-47,5,179,312,1442766,"2007-07-08",2007,27,"2007-27"
12,"The Golden Door","Ita/Ger/Fra","34321","Optimum",-28,2,15,2288,109485,"2007-07-08",2007,27,"2007-27"
14,"The Flying Scotsman","UK/Ger","26620","Verve",-56,2,54,492,129819,"2007-07-08",2007,27,"2007-27"
15,"Aap Ka Surroor","Ind","23452","Adlabs",-54,2,20,1172,100005,"2007-07-08",2007,27,"2007-27"
34,"Grow Your Own","UK","2500","Pathé",-37,4,8,312,83238,"2007-07-08",2007,27,"2007-27"
35,"28 Weeks Later","UK","2405","20th Century Fox",-55,9,12,200,5306074,"2007-07-08",2007,27,"2007-27"
36,"This is England","UK","2354","Optimum",-57,11,5,470,1527324,"2007-07-08",2007,27,"2007-27"
40,"Joe Strummer: The Future is Unwritten","UK/Ire","2101","Vertigo",8,8,4,525,146794,"2007-07-08",2007,27,"2007-27"
41,"Taking Liberties","UK","1918","Revolver",2,5,5,383,61562,"2007-07-08",2007,27,"2007-27"
42,"The War on Democracy","UK/Aus","1877","Lionsgate",223,4,4,469,32143,"2007-07-08",2007,27,"2007-27"
44,"Black Gold","UK/USA","1338","Dogwoof Pictures",-17,5,3,446,39885,"2007-07-08",2007,27,"2007-27"
50,"Scott Walker: 30 Century Man","UK/USA","377","Verve",-32,11,3,125,32406,"2007-07-08",2007,27,"2007-27"
52,"Flyboys","UK/USA/Fra","219","Verve",-97,6,4,54,101603,"2007-07-08",2007,27,"2007-27"
2,"Shrek the Third","USA","2803076","Paramount",-45,3,495,5662,30680054,"2007-07-15",2007,28,"2007-28"
3,"Die Hard 4.0","USA/Ger","1987802","20th Century Fox",-60,2,459,4330,9142312,"2007-07-15",2007,28,"2007-28"
4,"Fantastic Four: Rise of the Silver Surfer","USA","248867","20th Century Fox",-62,5,357,697,11904919,"2007-07-15",2007,28,"2007-28"
5,"Ocean's Thirteen","USA","153622","Warner",-67,6,192,800,12784710,"2007-07-15",2007,28,"2007-28"
6,"Pirates of the Caribbean: At World's End","USA","97883","BVI",-73,8,170,575,40014676,"2007-07-15",2007,28,"2007-28"
7,"Hostel 2","USA","97779","Sony",-65,3,182,537,1625932,"2007-07-15",2007,28,"2007-28"
10,"La Vie En Rose","Fra/UK/Cze","72782","Icon",-33,4,60,1213,960741,"2007-07-15",2007,28,"2007-28"
11,"Tell No One","Fra","49836","Revolver",-22,5,31,1607,884089,"2007-07-15",2007,28,"2007-28"
12,"Apne","Ind","45406","Tip Top",-62,3,38,1194,513421,"2007-07-15",2007,28,"2007-28"
13,"The Ugly Duckling and Me!","Fra/Ger/Ire/Den","22052","Eclipse",-26,2,35,630,79188,"2007-07-15",2007,28,"2007-28"
14,"The Golden Door","Ita/Ger/Fra","19164","Optimum",-44,3,14,1368,156847,"2007-07-15",2007,28,"2007-28"
15,"Are We Done Yet?","USA","13944","Sony",-75,6,62,224,1477562,"2007-07-15",2007,28,"2007-28"
28,"The Flying Scotsman","UK/Ger","3826","Verve Pictures",-86,3,11,347,151106,"2007-07-15",2007,28,"2007-28"
30,"This is England","UK","3465","Optimum",47,12,6,577,1533351,"2007-07-15",2007,28,"2007-28"
33,"Grow Your Own","UK","2905","Pathé",16,5,7,415,90092,"2007-07-15",2007,28,"2007-28"
36,"Black Gold","UK/USA","2696","Dogwoof Pictures",102,6,6,449,44848,"2007-07-15",2007,28,"2007-28"
39,"The War on Democracy","UK/Aus","2161","Lionsgate",15,5,3,720,36856,"2007-07-15",2007,28,"2007-28"
47,"28 Weeks Later","UK","1226","20th Century Fox",-49,10,4,306,5309160,"2007-07-15",2007,28,"2007-28"
49,"Joe Strummer: The Future is Unwritten","UK/Ire","838","Vertigo",-60,9,1,838,148605,"2007-07-15",2007,28,"2007-28"
53,"Taking Liberties","UK","463","Revolver",-76,6,1,463,64986,"2007-07-15",2007,28,"2007-28"
57,"Flyboys","UK/USA/Fra","250","Verve",14,7,2,125,102339,"2007-07-15",2007,28,"2007-28"
60,"Scott Walker: 30 Century Man","UK/USA","99","Verve",-74,12,1,99,32869,"2007-07-15",2007,28,"2007-28"
1,"Harry Potter and the Order of the Phoenix","UK/USA","6639973","Warner",-60,1,566,11731,30062094,"2007-07-22",2007,29,"2007-29"
3,"Shrek the Third","USA","1620059","Paramount",-42,2,491,3299,33661676,"2007-07-22",2007,29,"2007-29"
4,"Die Hard 4.0","USA/Ger","1067729","20th Century Fox",-46,5,457,2336,11468125,"2007-07-22",2007,29,"2007-29"
7,"Fantastic Four: Rise of the Silver Surfer","USA","82625","20th Century Fox",-67,3,233,354,12153503,"2007-07-22",2007,29,"2007-29"
8,"Ocean's Thirteen","USA","75385","Warner",-51,1,116,649,12998107,"2007-07-22",2007,29,"2007-29"
9,"La Vie En Rose","Fra/UK/Cze","61299","Icon",-16,1,59,1038,1113892,"2007-07-22",2007,29,"2007-29"
10,"Moliere","Fra","50641","Pathé",-33,4,51,992,187259,"2007-07-22",2007,29,"2007-29"
11,"Tell No One","Fra","41795","Revolver",-16,5,27,1547,965529,"2007-07-22",2007,29,"2007-29"
12,"Pirates of the Caribbean: At World's End","USA","36584","BVI",-63,3,95,385,40125303,"2007-07-22",2007,29,"2007-29"
13,"Hostel 2","USA","35972","Sony",-63,2,97,370,1739157,"2007-07-22",2007,29,"2007-29"
14,"Naqaab","Ind","19813","Tip Top",-74,3,24,825,143507,"2007-07-22",2007,29,"2007-29"
38,"Grow Your Own","UK","1795","Pathé",-38,6,5,359,97220,"2007-07-22",2007,29,"2007-29"
44,"Taking Liberties","UK","953","Revolver",106,7,3,317,67162,"2007-07-22",2007,29,"2007-29"
45,"This is England","UK","951","Optimum",-73,13,4,237,1536110,"2007-07-22",2007,29,"2007-29"
46,"The War on Democracy","UK/Aus","931","Lionsgate",-57,6,3,310,41883,"2007-07-22",2007,29,"2007-29"
47,"Joe Strummer: The Future is Unwritten","UK/Ire","873","Vertigo",4,10,2,436,151041,"2007-07-22",2007,29,"2007-29"
48,"The Flying Scotsman","UK/Ger","806","Verve Pictures",-79,4,4,201,157306,"2007-07-22",2007,29,"2007-29"
3,"Harry Potter and the Order of the Phoenix","UK/USA","2879635","Warner",-57,3,534,5392,37870033,"2007-07-29",2007,30,"2007-30"
4,"Hairspray","USA","1390389","Entertainment",-32,2,355,3916,5537466,"2007-07-29",2007,30,"2007-30"
5,"Shrek the Third","USA","730493","Paramount",-55,5,464,1574,35791616,"2007-07-29",2007,30,"2007-30"
6,"Die Hard 4.0","USA/Ger","473881","20th Century Fox",-56,4,321,1476,12753440,"2007-07-29",2007,30,"2007-30"
7,"Partner","Ind","138523","Eros",-41,2,41,3378,570300,"2007-07-29",2007,30,"2007-30"
9,"La Vie En Rose","Fra/UK/Cze","28921","Icon",-53,6,25,1156,1216521,"2007-07-29",2007,30,"2007-30"
10,"Tell No One","Fra","26043","Revolver",-38,7,15,1736,1026711,"2007-07-29",2007,30,"2007-30"
11,"Moliere","Fra","23845","Pathé",-53,5,24,993,253323,"2007-07-29",2007,30,"2007-30"
12,"Firehouse Dog","USA/Can","22265","20th Century Fox",-75,2,199,111,210531,"2007-07-29",2007,30,"2007-30"
13,"Ocean's Thirteen","USA","20454","Warner",-73,8,34,601,13080644,"2007-07-29",2007,30,"2007-30"
14,"Private Fears in Public Places","Fra/Ita","20068","Artificial Eye",12,2,7,2866,49649,"2007-07-29",2007,30,"2007-30"
15,"Fantastic Four: Rise of the Silver Surfer","USA","19178","20th Century Fox",-77,7,81,236,12278806,"2007-07-29",2007,30,"2007-30"
32,"Taking Liberties","UK","2726","Revolver",186,8,4,681,70098,"2007-07-29",2007,30,"2007-30"
33,"Joe Strummer: The Future is Unwritten","UK/Ire","2445","Vertigo",180,11,3,815,154722,"2007-07-29",2007,30,"2007-30"
37,"Grow Your Own","UK","2113","Pathé",18,7,2,1056,100648,"2007-07-29",2007,30,"2007-30"
38,"The Flying Scotsman","UK/Ger","2084","Verve Pictures",159,5,4,521,162200,"2007-07-29",2007,30,"2007-30"
40,"Small Engine Repair","UK/Ire","1669","Guerilla",-71,2,4,417,12544,"2007-07-29",2007,30,"2007-30"
44,"This is England","UK","1443","Optimum",52,14,4,360,1539372,"2007-07-29",2007,30,"2007-30"
52,"The War on Democracy","UK/Aus","573","Lions Gate",-39,7,2,286,43547,"2007-07-29",2007,30,"2007-30"
1,"The Simpsons","USA","4027220","20th Century Fox",-70,2,519,7759,24193664,"2007-08-05",2007,31,"2007-31"
2,"Transformers","USA","2333219","Paramount",-73,2,458,5094,14516560,"2007-08-05",2007,31,"2007-31"
3,"Harry Potter and the Order of the Phoenix","UK/USA","1475760","Warner",-49,4,488,3024,41579776,"2007-08-05",2007,31,"2007-31"
5,"Hairspray","USA","866602","Entertainment",-38,3,355,2441,7861069,"2007-08-05",2007,31,"2007-31"
6,"Shrek the Third","USA","312828","Paramount",-57,6,409,764,36733582,"2007-08-05",2007,31,"2007-31"
7,"Die Hard 4.0","USA/Ger","243461","20th Century Fox",-49,5,248,981,13325722,"2007-08-05",2007,31,"2007-31"
11,"Partner","Ind","52732","Eros",-62,3,27,1953,726296,"2007-08-05",2007,31,"2007-31"
15,"Tell No One","Fra","19657","Revolver",-25,8,15,1310,1067315,"2007-08-05",2007,31,"2007-31"
17,"La Vie En Rose","Fra/UK/Cze","18576","Icon",-36,7,28,663,1280074,"2007-08-05",2007,31,"2007-31"
38,"Joe Strummer: The Future is Unwritten","UK/Ire","1447","Vertigo",-41,12,4,361,157104,"2007-08-05",2007,31,"2007-31"
40,"The Flying Scotsman","UK/Ger","1116","Verve Pictures",-46,6,3,372,164891,"2007-08-05",2007,31,"2007-31"
42,"The War on Democracy","UK/Aus","914","Lions Gate",60,8,3,304,45313,"2007-08-05",2007,31,"2007-31"
43,"Grow Your Own","UK","897","Pathé",-58,8,3,299,103777,"2007-08-05",2007,31,"2007-31"
48,"Small Engine Repair","UK/Ire","500","Guerilla",-70,3,2,250,14839,"2007-08-05",2007,31,"2007-31"
2,"The Simpsons","USA","2175321","20th Century Fox",-46,3,506,4299,29908720,"2007-08-12",2007,32,"2007-32"
3,"Transformers","USA","1385910","Paramount",-41,3,464,2986,18019122,"2007-08-12",2007,32,"2007-32"
4,"Harry Potter and the Order of the Phoenix","UK/USA","1064947","Warner",-28,5,448,2377,44137076,"2007-08-12",2007,32,"2007-32"
5,"Evan Almighty","USA","684714","Universal",-41,2,431,1588,3074236,"2007-08-12",2007,32,"2007-32"
6,"Hairspray","USA","610356","Entertainment",-30,4,358,1704,9544673,"2007-08-12",2007,32,"2007-32"
9,"Shrek the Third","USA","173826","Paramount",-44,7,339,512,37307193,"2007-08-12",2007,32,"2007-32"
11,"Die Hard 4.0","USA/Ger","108000","20th Century Fox",-56,6,145,744,13644640,"2007-08-12",2007,32,"2007-32"
14,"The Hoax","USA","42573","Momentum",-55,2,58,734,222112,"2007-08-12",2007,32,"2007-32"
15,"Happily N'ever After","USA/Ger","22228","Lions Gate",-65,2,174,127,169441,"2007-08-12",2007,32,"2007-32"
18,"La Vie En Rose","Fra/UK/Cze","16060","Icon",-14,8,23,698,1330255,"2007-08-12",2007,32,"2007-32"
35,"The Flying Scotsman","UK/Ger","2176","Verve Pictures",95,7,6,362,169977,"2007-08-12",2007,32,"2007-32"
41,"I is for India","UK","1520","ICA Projects",-41,2,2,760,7075,"2007-08-12",2007,32,"2007-32"
56,"Joe Strummer: The Future is Unwritten","UK/Ire","354","Vertigo",-76,13,3,118,159928,"2007-08-12",2007,32,"2007-32"
2,"The Simpsons","USA","1537732","20th Century Fox",-29,4,514,2991,33873159,"2007-08-19",2007,33,"2007-33"
3,"Rush Hour 3","USA","1521147","Entertainment",-44,2,364,4178,6288106,"2007-08-19",2007,33,"2007-33"
5,"Transformers","USA","952263","Paramount",-31,4,434,2194,20344661,"2007-08-19",2007,33,"2007-33"
6,"Harry Potter and the Order of the Phoenix","UK/USA","936238","Warner",-12,6,399,2346,46282642,"2007-08-19",2007,33,"2007-33"
7,"Surf's Up","USA","593020","Sony",-1,2,402,1475,2555432,"2007-08-19",2007,33,"2007-33"
8,"Hairspray","USA","511061","Entertainment",-16,5,357,1431,10878153,"2007-08-19",2007,33,"2007-33"
9,"Evan Almighty","USA","501391","Universal",-27,3,385,1302,4483540,"2007-08-19",2007,33,"2007-33"
10,"Shrek the Third","USA","173769","Paramount",0,8,291,597,37812838,"2007-08-19",2007,33,"2007-33"
11,"License to Wed","USA","148873","Warner",-44,2,199,748,719521,"2007-08-19",2007,33,"2007-33"
12,"Chak De India","Ind","81485","Yash Raj",-37,2,43,1895,299812,"2007-08-19",2007,33,"2007-33"
13,"Waitress","USA","58069","20th Century Fox",-45,2,58,1001,263828,"2007-08-19",2007,33,"2007-33"
14,"Die Hard 4.0","USA/Ger","49439","20th Century Fox",-54,7,92,537,13773101,"2007-08-19",2007,33,"2007-33"
16,"The Walker","UK/USA","35199","Pathé",-21,2,25,1407,118808,"2007-08-19",2007,33,"2007-33"
19,"La Vie En Rose","Fra/UK/Cze","12111","Icon",-25,9,12,1009,1375545,"2007-08-19",2007,33,"2007-33"
39,"Mee-Shee: The Water Giant","UK/Ger","2423","The Works",81,2,37,65,4821,"2007-08-19",2007,33,"2007-33"
40,"I is for India","UK","2350","ICA Projects",55,3,1,2350,13889,"2007-08-19",2007,33,"2007-33"
45,"The War on Democracy","UK/Aus","1920","Lions Gate",172,10,3,640,50688,"2007-08-19",2007,33,"2007-33"
47,"Henry V (re)","UK","1623","Park Circus",4,2,1,1623,4833,"2007-08-19",2007,33,"2007-33"
51,"The Flying Scotsman","UK/Ger","1292","Verve Pictures",-41,8,2,646,176145,"2007-08-19",2007,33,"2007-33"
59,"Taking Liberties","UK","610","Revolver",2950,11,3,203,73918,"2007-08-19",2007,33,"2007-33"
1,"The Bourne Ultimatum","USA/UK","2864804","Universal",-56,2,457,6268,12926467,"2007-08-26",2007,34,"2007-34"
3,"Rush Hour 3","USA","783212","Entertainment",-49,3,373,2099,8191077,"2007-08-26",2007,34,"2007-34"
